name,lon,lat,category,road,suburb,city_district,town,city,state,postcode,country,operator,ref,public_transport,station,wheelchair,network
Manek Urai,102.2322295,5.3911386,station,Jalan Kota Bharu – Gua Musang,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Kampung Baru Sungai Mengkuang,102.2034004,5.330254,station,D66,,,,,Kelantan,"18000",Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Dabong,102.0100459,5.3767149,station,"66",,,,,Kelantan,"18200",Malaysia,Keretapi Tanah Melayu,,station,train,yes,KTM Intercity
Kemubu,102.0199972,5.300114,station,D233,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
Sri Mahligai,102.0096379,5.2483381,station,D233,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Sungai Tasin,102.0124795,5.2133761,station,D233,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Jerek Baru,102.0099773,5.1737721,station,D234,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Bertam,102.0438523,5.1516284,station,D235,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Sungai Serian,102.0504102,5.0338183,station,D237,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Kampung Sungai Serian,102.0390895,5.0247805,station,D237,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Pan Malayan,102.0101964,4.9619708,station,Jalan Kota Bharu – Gua Musang,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Lepan Tupai,102.0125097,4.7881934,station,"8",,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Merapoh,102.003219,4.6931803,station,"8",,,,,Pahang,,Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
Kubang Rusa,101.9845376,4.6010046,station,"8",,,,,Pahang,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Sungai Temau,101.9447127,4.4898674,halt,"8",,,,,Pahang,,Malaysia,KTM,,station,,,KTM Intercity
Padang Tengku,101.9899092,4.2328127,station,"8",,,,,Pahang,"27100",Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
Kerambit,102.1994151,4.1171933,station,"234",,,,,Pahang,,Malaysia,Keretapi Tanah Melayu,,station,train,yes,KTM Intercity
Mela,102.2715784,4.0753179,station,"234",,,,,Pahang,"27010",Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Kuala Krau,102.366999,3.7096171,station,Jalan Temerloh - Jerantut,,,Kuala Krau,,Pahang,"28050",Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
Kerdau,102.3684929,3.5746089,halt,C137,,,,,Pahang,"28010",Malaysia,Keretapi Tanah Melayu,,halt,,,KTM Intercity
Mengkarak,102.4203073,3.3311733,station,Jalan Mengkarak,,,,,Pahang,,Malaysia,Keretapi Tanah Melayu,,station,train,yes,KTM Intercity
Triang,102.4112799,3.2461824,station,Jalan Kampung Belakang Masjid,,,Bandar Triang,,Pahang,"28200",Malaysia,Keretapi Tanah Melayu,,station,train,yes,KTM Intercity
Bahau,102.4038783,2.8113418,station,"11",,,Bahau,,Negeri Sembilan,"72100",Malaysia,KTM,,station,,yes,
,114.0125002,4.4154791,taxi,Jalan Boulevard Utama,Krokop,,,,Sarawak,"98000",Malaysia,,,,,,
